,品目,,出し方,出し方のポイント等
あ,アンカーボルト,,小さな金属類,30cm以上のものは粗大ごみへ
あ,IH調理器,,粗大ごみ,金属製で30cm未満のものは小さな金属類、金属製以外で50㎝未満のものは燃やすごみへ
あ,アイシャドウチップ,,燃やすごみ,
あ,ICレコーダー,◎,燃やすごみ,金属製のものは小さな金属類へ
あ,アイスクラッシャー,,燃やすごみ,金属製のものは小さな金属類へ
あ,アイスクリームディッシャー,,小さな金属類,プラスチック製は燃やすごみへ
あ,アイスクリームのふた(紙製),,燃やすごみ,
あ,アイスクリームのふた(プラスチック製),,プラスチック製容器包装,
あ,アイスクリームの容器・包装(紙製),,燃やすごみ,アイスが直接入っていない外箱は古紙へ
あ,アイスクリームの容器・包装(プラスチック製),,プラスチック製容器包装,
あ,アイスクリームメーカー(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
あ,アイスクリームメーカー(プラスチック製),,燃やすごみ,
あ,アイススケートの刃,,小さな金属類,30cm以上のものは粗大ごみへ
あ,アイスの棒,,燃やすごみ,
あ,アイスピック,,小さな金属類,尖った部分は新聞紙等で包む
あ,アイスペール(ガラス製),,燃えないごみ,
あ,アイスペール(金属製),,小さな金属類,
あ,アイスペール(プラスチック製),,燃やすごみ,
あ,アイスホッケー防具,,燃やすごみ,50cm以上のものは粗大ごみへ
あ,アイゼン,,小さな金属類,
あ,アイマスク,,燃やすごみ,
あ,アイライナー・アイブロー,,燃やすごみ,プラスチック製のものはプラスチック製容器包装へ(プラマークを確認)
あ,アイロン(金属製),◎,小さな金属類,
あ,アイロンケース(プラスチック製),,燃やすごみ,
あ,アイロン台,,粗大ごみ,マットのみ・木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
あ,アイロン台カバー,,燃やすごみ,
あ,アイロン(プラスチック製),◎,燃やすごみ,
あ,アイロンプリント紙,,燃やすごみ,
あ,アイロンマット,,燃やすごみ,アイロン台は粗大ごみへ(金属製30㎝以上、木・プラスチック製50㎝以上のもの)
あ,アウトドア用椅子,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
あ,青焼き,,古紙(雑誌・その他の紙）,
あ,あかすり,,燃やすごみ,
あ,空き缶圧縮器,,燃やすごみ,金属製で30㎝未満のものは小さな金属類、30㎝以上のものは粗大ごみへ
あ,アクセサリー,,小さな金属類,木製・プラスチック製のものは燃やすごみへ。ガラス・陶器製のものは燃えないごみへ
あ,あく取り,,小さな金属類,プラスチック製のものは燃やすごみへ
あ,握力計,,燃やすごみ,金属製のものは小さな金属類へ
あ,アクリルケース,,燃やすごみ,50㎝以上のものは粗大ごみへ
あ,アクリル製・プラスチック製の板,,燃やすごみ,50㎝以上のものは粗大ごみへ
あ,アコーディオンカーテン,,粗大ごみ,
